,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,timezone,visibility,weather,wind
0,stations,{'all': 75},200,"{'lon': -114.38, 'lat': 62.45}",1575500392.0,6185377.0,"{'temp': -20.2, 'pressure': 1018, 'humidity': 68, 'temp_min': -20.2, 'temp_max': -20.2}",,Yellowknife,,,"{'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1575477734, 'sunset': 1575497612}",-25200.0,24140.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 6.93, 'deg': 320}"
1,stations,{'all': 40},200,"{'lon': -70.91, 'lat': -53.16}",1575500666.0,3874787.0,"{'temp': 51.91, 'pressure': 1007, 'humidity': 50, 'temp_min': 50, 'temp_max': 53.6}",,Punta Arenas,,,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1575447273, 'sunset': 1575507202}",-10800.0,10000.0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 34.45, 'deg': 260}"
2,model,{'all': 0},200,"{'lon': 54.34, 'lat': 36.17}",1575500666.0,138025.0,"{'temp': 43.39, 'pressure': 1020, 'humidity': 80, 'temp_min': 43.39, 'temp_max': 43.39, 'sea_level': 1020, 'grnd_level': 897}",,Damghan,,,"{'country': 'IR', 'sunrise': 1575515904, 'sunset': 1575551282}",12600.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.15, 'deg': 26}"
3,stations,{'all': 90},200,"{'lon': 117.88, 'lat': -35.02}",1575500436.0,2077963.0,"{'temp': 62.6, 'pressure': 1019, 'humidity': 77, 'temp_min': 62.6, 'temp_max': 62.6}",,Albany,,,"{'type': 1, 'id': 9484, 'country': 'AU', 'sunrise': 1575492458, 'sunset': 1575544220}",28800.0,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 8.05, 'deg': 100}"
4,stations,{'all': 1},200,"{'lon': -94.42, 'lat': 30.04}",1575500666.0,4732862.0,"{'temp': 64.74, 'pressure': 1017, 'humidity': 52, 'temp_min': 60.01, 'temp_max': 68}",,Nome,,,"{'type': 1, 'id': 3476, 'country': 'US', 'sunrise': 1575464307, 'sunset': 1575501455}",-21600.0,16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.53, 'deg': 35}"
5,model,{'all': 95},200,"{'lon': 135.18, 'lat': 49.24}",1575500666.0,2020738.0,"{'temp': -5.24, 'pressure': 1025, 'humidity': 90, 'temp_min': -5.24, 'temp_max': -5.24, 'sea_level': 1025, 'grnd_level': 1004}",,Litovko,,,"{'country': 'RU', 'sunrise': 1575499025, 'sunset': 1575529346}",36000.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 8.66, 'deg': 221}"
6,model,{'all': 9},200,"{'lon': -139.03, 'lat': -9.8}",1575500666.0,4020109.0,"{'temp': 80.29, 'pressure': 1012, 'humidity': 66, 'temp_min': 80.29, 'temp_max': 80.29, 'sea_level': 1012, 'grnd_level': 1012}",,Atuona,,,"{'country': 'PF', 'sunrise': 1575470799, 'sunset': 1575516382}",-34200.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 10.07, 'deg': 76}"
7,stations,{'all': 0},200,"{'lon': 151.26, 'lat': -27.18}",1575500666.0,2169535.0,"{'temp': 78.8, 'pressure': 1014, 'humidity': 15, 'temp_min': 78.8, 'temp_max': 78.8}",,Dalby,,,"{'type': 1, 'id': 9497, 'country': 'AU', 'sunrise': 1575485564, 'sunset': 1575535088}",36000.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 2.24, 'deg': 290}"
8,,,404,,,,,city not found,,,,,,,,
9,model,{'all': 82},200,"{'lon': 168.33, 'lat': -46.6}",1575500667.0,2206939.0,"{'temp': 58.19, 'pressure': 996, 'humidity': 54, 'temp_min': 58.19, 'temp_max': 58.19, 'sea_level': 996, 'grnd_level': 994}",,Bluff,{'3h': 0.69},,"{'country': 'NZ', 'sunrise': 1575478120, 'sunset': 1575534336}",46800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 12.21, 'deg': 300}"
